,index,opentripmap_ID,geo_ID,match
0,207,opentripmap_id_41496,geonames_id_1437463,0.0
1,346,opentripmap_id_130039,geonames_id_124978,0.0
2,347,opentripmap_id_89128,geonames_id_1269297,0.0
3,263,opentripmap_id_34107,geonames_id_1969321,0.0
4,397,opentripmap_id_101876,geonames_id_546189,1.0
5,343,opentripmap_id_117132,geonames_id_1144199,0.0
6,405,opentripmap_id_126555,geonames_id_548925,1.0
7,365,opentripmap_id_45210,geonames_id_1329730,0.0
8,279,opentripmap_id_98944,geonames_id_348876,0.0
9,242,opentripmap_id_17214,geonames_id_813506,0.0
10,311,opentripmap_id_45908,geonames_id_371099,0.0
11,133,opentripmap_id_69299,geonames_id_542654,1.0
12,302,opentripmap_id_49269,geonames_id_47769,0.0
13,61,opentripmap_id_21972,geonames_id_662383,1.0
14,280,opentripmap_id_32776,geonames_id_911871,0.0
15,436,opentripmap_id_31320,geonames_id_660587,0.0
16,255,opentripmap_id_10880,geonames_id_2257067,0.0
17,199,opentripmap_id_107770,geonames_id_1456710,0.0
18,317,opentripmap_id_47959,geonames_id_1177412,0.0
19,160,opentripmap_id_121682,geonames_id_548081,1.0
20,301,opentripmap_id_35604,geonames_id_308102,0.0
21,239,opentripmap_id_36143,geonames_id_2520836,0.0
22,89,opentripmap_id_97219,geonames_id_535793,1.0
23,451,opentripmap_id_19116,geonames_id_877558,0.0
24,55,opentripmap_id_31370,geonames_id_1169051,1.0
25,145,opentripmap_id_115388,geonames_id_343439,1.0
26,111,opentripmap_id_23332,geonames_id_1410210,1.0
27,20,opentripmap_id_16554,geonames_id_2617395,1.0
28,350,opentripmap_id_110808,geonames_id_732351,0.0
29,351,opentripmap_id_87307,geonames_id_1929722,0.0
30,124,opentripmap_id_120680,geonames_id_45935,1.0
31,220,opentripmap_id_127334,geonames_id_1490092,0.0
32,458,opentripmap_id_49518,geonames_id_340619,1.0
33,448,opentripmap_id_119493,geonames_id_547922,1.0
34,304,opentripmap_id_43184,geonames_id_1863465,0.0
35,356,opentripmap_id_60350,geonames_id_766441,0.0
36,229,opentripmap_id_20894,geonames_id_2498371,0.0
37,7,opentripmap_id_119291,geonames_id_397487,1.0
38,6,opentripmap_id_78295,geonames_id_2626551,1.0
39,103,opentripmap_id_44035,geonames_id_874758,1.0
40,388,opentripmap_id_123555,geonames_id_45428,1.0
41,2,opentripmap_id_78671,geonames_id_239015,1.0
42,46,opentripmap_id_38316,geonames_id_536970,1.0
43,155,opentripmap_id_22265,geonames_id_338220,1.0
44,422,opentripmap_id_91406,geonames_id_549143,1.0
45,241,opentripmap_id_78721,geonames_id_2338427,0.0
46,385,opentripmap_id_95812,geonames_id_2303656,0.0
47,266,opentripmap_id_120816,geonames_id_1764698,0.0
48,240,opentripmap_id_111250,geonames_id_951513,0.0
49,291,opentripmap_id_21400,geonames_id_1672368,0.0
50,165,opentripmap_id_34840,geonames_id_636324,1.0
51,5,opentripmap_id_284,geonames_id_859179,1.0
52,223,opentripmap_id_78603,geonames_id_1567401,0.0
53,407,opentripmap_id_108806,geonames_id_544203,1.0
54,446,opentripmap_id_88314,geonames_id_1220741,1.0
55,94,opentripmap_id_8590,geonames_id_1403324,1.0
56,339,opentripmap_id_101813,geonames_id_2626268,0.0
57,429,opentripmap_id_2492,geonames_id_1168714,1.0
58,479,opentripmap_id_12384,geonames_id_1230260,0.0
59,78,opentripmap_id_42280,geonames_id_664735,1.0
60,284,opentripmap_id_5240,geonames_id_1698015,0.0
61,440,opentripmap_id_33954,geonames_id_544031,0.0
62,329,opentripmap_id_14255,geonames_id_67885,0.0
63,372,opentripmap_id_85535,geonames_id_2224651,0.0
64,192,opentripmap_id_31522,geonames_id_1148313,0.0
65,419,opentripmap_id_122331,geonames_id_54384,0.0
66,218,opentripmap_id_84076,geonames_id_1251571,0.0
67,498,opentripmap_id_5155,geonames_id_499703,0.0
68,194,opentripmap_id_45430,geonames_id_965999,0.0
69,22,opentripmap_id_103657,geonames_id_495584,1.0
70,8,opentripmap_id_7436,geonames_id_555538,1.0
71,230,opentripmap_id_24399,geonames_id_1781049,0.0
72,439,opentripmap_id_130581,geonames_id_2617808,1.0
73,177,opentripmap_id_32439,geonames_id_535694,1.0
74,35,opentripmap_id_65901,geonames_id_1016821,1.0
75,297,opentripmap_id_83850,geonames_id_1947588,0.0
76,477,opentripmap_id_8942,geonames_id_2141321,0.0
77,170,opentripmap_id_122291,geonames_id_533241,1.0
78,259,opentripmap_id_34765,geonames_id_1746116,0.0
79,156,opentripmap_id_107515,geonames_id_306623,1.0
80,376,opentripmap_id_127674,geonames_id_2429645,0.0
81,402,opentripmap_id_40648,geonames_id_1223208,1.0
82,125,opentripmap_id_89060,geonames_id_1214564,1.0
83,29,opentripmap_id_16019,geonames_id_532479,1.0
84,17,opentripmap_id_8865,geonames_id_2622613,1.0
85,460,opentripmap_id_50379,geonames_id_2622330,1.0
86,293,opentripmap_id_5359,geonames_id_742857,0.0
87,413,opentripmap_id_120107,geonames_id_532709,1.0
88,463,opentripmap_id_8702,geonames_id_2613731,0.0
89,169,opentripmap_id_73306,geonames_id_1091338,1.0
90,428,opentripmap_id_105617,geonames_id_520040,1.0
91,401,opentripmap_id_37984,geonames_id_85210,1.0
92,432,opentripmap_id_98311,geonames_id_899539,1.0
93,83,opentripmap_id_46171,geonames_id_1411326,1.0
94,411,opentripmap_id_94398,geonames_id_545400,1.0
95,16,opentripmap_id_10236,geonames_id_2110044,1.0
96,363,opentripmap_id_9467,geonames_id_1977983,0.0
97,144,opentripmap_id_86364,geonames_id_2626469,1.0
98,253,opentripmap_id_115223,geonames_id_2065697,0.0
99,323,opentripmap_id_116162,geonames_id_2398543,0.0
100,418,opentripmap_id_119150,geonames_id_545403,1.0
101,364,opentripmap_id_119071,geonames_id_69936,0.0
102,382,opentripmap_id_56818,geonames_id_2312336,0.0
103,42,opentripmap_id_65,geonames_id_890965,1.0
104,476,opentripmap_id_108891,geonames_id_536570,0.0
105,193,opentripmap_id_52922,geonames_id_662148,0.0
106,131,opentripmap_id_18960,geonames_id_178200,1.0
107,209,opentripmap_id_117313,geonames_id_1442636,0.0
108,53,opentripmap_id_27912,geonames_id_1167816,1.0
109,274,opentripmap_id_77982,geonames_id_1163752,0.0
110,264,opentripmap_id_117789,geonames_id_22443,0.0
111,99,opentripmap_id_25825,geonames_id_2139543,1.0
112,0,opentripmap_id_55670,geonames_id_890970,1.0
113,10,opentripmap_id_120516,geonames_id_554506,1.0
114,197,opentripmap_id_40662,geonames_id_593886,0.0
115,168,opentripmap_id_7833,geonames_id_1410440,1.0
116,377,opentripmap_id_44828,geonames_id_1203566,0.0
117,107,opentripmap_id_122740,geonames_id_2111219,1.0
118,258,opentripmap_id_120530,geonames_id_302439,0.0
119,212,opentripmap_id_47880,geonames_id_2041593,0.0
120,335,opentripmap_id_95191,geonames_id_953620,0.0
121,395,opentripmap_id_109140,geonames_id_544146,1.0
122,484,opentripmap_id_32499,geonames_id_2429781,0.0
123,130,opentripmap_id_85,geonames_id_897739,1.0
124,201,opentripmap_id_13970,geonames_id_2468173,0.0
125,92,opentripmap_id_27738,geonames_id_1168720,1.0
126,143,opentripmap_id_46419,geonames_id_2111529,1.0
127,243,opentripmap_id_20320,geonames_id_1660378,0.0
128,386,opentripmap_id_50457,geonames_id_2549793,0.0
129,412,opentripmap_id_9961,geonames_id_1310574,1.0
130,120,opentripmap_id_19707,geonames_id_877431,1.0
131,176,opentripmap_id_1926,geonames_id_635906,1.0
132,410,opentripmap_id_45923,geonames_id_1169047,1.0
133,206,opentripmap_id_21368,geonames_id_1854740,0.0
134,473,opentripmap_id_28749,geonames_id_88408,0.0
135,394,opentripmap_id_7478,geonames_id_543976,1.0
136,352,opentripmap_id_87916,geonames_id_2478151,0.0
137,95,opentripmap_id_88639,geonames_id_1235531,1.0
138,431,opentripmap_id_47970,geonames_id_548610,1.0
139,467,opentripmap_id_49487,geonames_id_2139570,1.0
140,471,opentripmap_id_96096,geonames_id_85193,0.0
141,66,opentripmap_id_123009,geonames_id_325222,1.0
142,9,opentripmap_id_104699,geonames_id_449965,1.0
143,441,opentripmap_id_41541,geonames_id_2617463,1.0
144,205,opentripmap_id_22091,geonames_id_1936454,0.0
145,483,opentripmap_id_28817,geonames_id_467264,0.0
146,403,opentripmap_id_23340,geonames_id_1409227,1.0
147,137,opentripmap_id_50105,geonames_id_862958,1.0
148,148,opentripmap_id_24691,geonames_id_543400,1.0
149,80,opentripmap_id_18132,geonames_id_545244,1.0
150,354,opentripmap_id_34690,geonames_id_35767,0.0
151,478,opentripmap_id_99782,geonames_id_80918,0.0
152,82,opentripmap_id_112888,geonames_id_547804,1.0
153,173,opentripmap_id_92770,geonames_id_1229589,1.0
154,290,opentripmap_id_112509,geonames_id_964085,0.0
155,262,opentripmap_id_46330,geonames_id_2322550,0.0
156,427,opentripmap_id_1076,geonames_id_531911,0.0
157,210,opentripmap_id_108097,geonames_id_1171988,0.0
158,492,opentripmap_id_21212,geonames_id_848863,0.0
159,228,opentripmap_id_122954,geonames_id_2173586,0.0
160,251,opentripmap_id_5478,geonames_id_997355,0.0
161,287,opentripmap_id_122262,geonames_id_249381,0.0
162,322,opentripmap_id_37117,geonames_id_342633,0.0
163,217,opentripmap_id_131807,geonames_id_303878,0.0
164,312,opentripmap_id_46564,geonames_id_456669,0.0
165,178,opentripmap_id_47290,geonames_id_533236,1.0
166,63,opentripmap_id_93451,geonames_id_550776,1.0
167,252,opentripmap_id_17483,geonames_id_1880149,0.0
168,349,opentripmap_id_51737,geonames_id_1824267,0.0
169,69,opentripmap_id_42258,geonames_id_660497,1.0
170,234,opentripmap_id_109449,geonames_id_1061161,0.0
171,129,opentripmap_id_75710,geonames_id_793923,1.0
172,433,opentripmap_id_27572,geonames_id_810178,1.0
173,334,opentripmap_id_77439,geonames_id_907935,0.0
174,140,opentripmap_id_8236,geonames_id_897699,1.0
175,171,opentripmap_id_11447,geonames_id_1390069,1.0
176,384,opentripmap_id_14187,geonames_id_618670,0.0
177,487,opentripmap_id_90377,geonames_id_426013,0.0
178,475,opentripmap_id_117722,geonames_id_317288,0.0
179,444,opentripmap_id_36359,geonames_id_533234,1.0
180,271,opentripmap_id_104498,geonames_id_20808,0.0
181,399,opentripmap_id_89508,geonames_id_211120,1.0
182,443,opentripmap_id_93053,geonames_id_1001170,0.0
183,486,opentripmap_id_20864,geonames_id_1236226,0.0
184,425,opentripmap_id_37471,geonames_id_1146485,0.0
185,36,opentripmap_id_1381,geonames_id_535603,1.0
186,421,opentripmap_id_124806,geonames_id_514997,0.0
187,238,opentripmap_id_124442,geonames_id_174517,0.0
188,64,opentripmap_id_24569,geonames_id_1224486,1.0
189,31,opentripmap_id_56691,geonames_id_1228375,1.0
190,163,opentripmap_id_118099,geonames_id_549669,1.0
191,59,opentripmap_id_45901,geonames_id_1223479,1.0
192,466,opentripmap_id_90072,geonames_id_540421,0.0
193,232,opentripmap_id_88219,geonames_id_1324175,0.0
194,447,opentripmap_id_108479,geonames_id_183952,0.0
195,292,opentripmap_id_45782,geonames_id_2232440,0.0
196,278,opentripmap_id_103767,geonames_id_39876,0.0
197,452,opentripmap_id_6364,geonames_id_337208,1.0
198,300,opentripmap_id_9057,geonames_id_1061960,0.0
199,285,opentripmap_id_6674,geonames_id_1565650,0.0
200,359,opentripmap_id_1689,geonames_id_2349510,0.0
201,480,opentripmap_id_70036,geonames_id_903249,0.0
202,110,opentripmap_id_38531,geonames_id_646255,1.0
203,378,opentripmap_id_20369,geonames_id_1522517,0.0
204,97,opentripmap_id_24968,geonames_id_2111576,1.0
205,195,opentripmap_id_9727,geonames_id_2003930,0.0
206,190,opentripmap_id_42568,geonames_id_59564,0.0
207,273,opentripmap_id_7028,geonames_id_491768,0.0
208,245,opentripmap_id_17933,geonames_id_1628876,0.0
209,3,opentripmap_id_22304,geonames_id_660323,1.0
210,298,opentripmap_id_121579,geonames_id_1343813,0.0
211,141,opentripmap_id_1968,geonames_id_646617,1.0
212,93,opentripmap_id_16172,geonames_id_532387,1.0
213,415,opentripmap_id_128187,geonames_id_546551,0.0
214,499,opentripmap_id_100576,geonames_id_163765,0.0
215,321,opentripmap_id_96359,geonames_id_2511927,0.0
216,497,opentripmap_id_39325,geonames_id_115160,0.0
217,496,opentripmap_id_90384,geonames_id_2352772,0.0
218,332,opentripmap_id_9228,geonames_id_1937902,0.0
219,87,opentripmap_id_6662,geonames_id_1091485,1.0
220,244,opentripmap_id_132320,geonames_id_1437947,0.0
221,132,opentripmap_id_12317,geonames_id_1143016,1.0
222,175,opentripmap_id_93149,geonames_id_635856,1.0
223,211,opentripmap_id_19148,geonames_id_538055,0.0
224,226,opentripmap_id_4810,geonames_id_2670054,0.0
225,49,opentripmap_id_56689,geonames_id_1234815,1.0
226,358,opentripmap_id_7315,geonames_id_180483,0.0
227,231,opentripmap_id_24140,geonames_id_663515,0.0
228,307,opentripmap_id_81646,geonames_id_1612656,0.0
229,12,opentripmap_id_8323,geonames_id_1410191,1.0
230,265,opentripmap_id_104724,geonames_id_2265076,0.0
231,27,opentripmap_id_58953,geonames_id_661150,1.0
232,161,opentripmap_id_87261,geonames_id_2629474,1.0
233,469,opentripmap_id_126960,geonames_id_544917,0.0
234,14,opentripmap_id_131608,geonames_id_320588,1.0
235,330,opentripmap_id_23928,geonames_id_411354,0.0
236,383,opentripmap_id_3530,geonames_id_2013687,0.0
237,34,opentripmap_id_3266,geonames_id_535728,1.0
238,286,opentripmap_id_11632,geonames_id_2131229,0.0
239,227,opentripmap_id_114026,geonames_id_92837,0.0
240,327,opentripmap_id_23608,geonames_id_1651688,0.0
241,146,opentripmap_id_16122,geonames_id_542790,1.0
242,344,opentripmap_id_43173,geonames_id_1771000,0.0
243,438,opentripmap_id_100333,geonames_id_549089,1.0
244,21,opentripmap_id_31758,geonames_id_548991,1.0
245,249,opentripmap_id_34895,geonames_id_884758,0.0
246,157,opentripmap_id_122380,geonames_id_52498,1.0
247,28,opentripmap_id_21854,geonames_id_1235252,1.0
248,461,opentripmap_id_110748,geonames_id_2614550,1.0
249,25,opentripmap_id_1135,geonames_id_543844,1.0
250,104,opentripmap_id_106464,geonames_id_534958,1.0
251,84,opentripmap_id_131148,geonames_id_440716,1.0
252,424,opentripmap_id_11620,geonames_id_1138950,0.0
253,393,opentripmap_id_12718,geonames_id_663821,1.0
254,154,opentripmap_id_3461,geonames_id_535733,1.0
255,118,opentripmap_id_43593,geonames_id_2111858,1.0
256,315,opentripmap_id_123753,geonames_id_2048397,0.0
257,333,opentripmap_id_13288,geonames_id_2648308,0.0
258,465,opentripmap_id_2408,geonames_id_1235884,0.0
259,30,opentripmap_id_21959,geonames_id_591205,1.0
260,116,opentripmap_id_60252,geonames_id_2112131,1.0
261,109,opentripmap_id_9624,geonames_id_712143,1.0
262,449,opentripmap_id_36623,geonames_id_543154,1.0
263,482,opentripmap_id_43000,geonames_id_1234568,0.0
264,204,opentripmap_id_21643,geonames_id_547177,0.0
265,367,opentripmap_id_73116,geonames_id_938500,0.0
266,15,opentripmap_id_102360,geonames_id_445088,1.0
267,33,opentripmap_id_105953,geonames_id_495178,1.0
268,406,opentripmap_id_109140,geonames_id_544146,1.0
269,101,opentripmap_id_113041,geonames_id_420079,1.0
270,23,opentripmap_id_131700,geonames_id_405699,1.0
271,123,opentripmap_id_24870,geonames_id_2113807,1.0
272,128,opentripmap_id_99639,geonames_id_660940,1.0
273,481,opentripmap_id_43734,geonames_id_1030701,0.0
274,261,opentripmap_id_17977,geonames_id_1369927,0.0
275,62,opentripmap_id_88223,geonames_id_660571,1.0
276,331,opentripmap_id_84861,geonames_id_313445,0.0
277,387,opentripmap_id_102591,geonames_id_2730777,0.0
278,283,opentripmap_id_101975,geonames_id_399130,0.0
279,189,opentripmap_id_40217,geonames_id_2087529,0.0
280,375,opentripmap_id_65991,geonames_id_2255883,0.0
281,119,opentripmap_id_93433,geonames_id_435859,1.0
282,360,opentripmap_id_118955,geonames_id_943224,0.0
283,288,opentripmap_id_66154,geonames_id_1828521,0.0
284,68,opentripmap_id_12355,geonames_id_1164154,1.0
285,414,opentripmap_id_102916,geonames_id_544241,1.0
286,470,opentripmap_id_126752,geonames_id_2528187,0.0
287,468,opentripmap_id_10327,geonames_id_2111592,1.0
288,135,opentripmap_id_43233,geonames_id_1400638,1.0
289,203,opentripmap_id_25525,geonames_id_2091608,0.0
290,134,opentripmap_id_42727,geonames_id_1409102,1.0
291,70,opentripmap_id_93727,geonames_id_506121,1.0
292,72,opentripmap_id_90427,geonames_id_531877,1.0
293,404,opentripmap_id_118658,geonames_id_548264,1.0
294,198,opentripmap_id_32941,geonames_id_107282,0.0
295,389,opentripmap_id_110552,geonames_id_493879,1.0
296,179,opentripmap_id_94965,geonames_id_551284,1.0
297,90,opentripmap_id_49848,geonames_id_902948,1.0
298,114,opentripmap_id_96891,geonames_id_2115222,1.0
299,495,opentripmap_id_21605,geonames_id_1462599,0.0
300,108,opentripmap_id_14789,geonames_id_1239762,1.0
301,159,opentripmap_id_24996,geonames_id_2113823,1.0
302,73,opentripmap_id_103545,geonames_id_538016,1.0
303,216,opentripmap_id_34460,geonames_id_1395655,0.0
304,267,opentripmap_id_129033,geonames_id_203789,0.0
305,426,opentripmap_id_2305,geonames_id_1236587,1.0
306,224,opentripmap_id_34947,geonames_id_2182653,0.0
307,260,opentripmap_id_90559,geonames_id_1345063,0.0
308,235,opentripmap_id_30179,geonames_id_1590472,0.0
309,345,opentripmap_id_18497,geonames_id_2525594,0.0
310,196,opentripmap_id_19339,geonames_id_715729,0.0
311,158,opentripmap_id_46560,geonames_id_468402,1.0
312,102,opentripmap_id_40770,geonames_id_660599,1.0
313,357,opentripmap_id_30851,geonames_id_1178131,0.0
314,320,opentripmap_id_5738,geonames_id_611800,0.0
315,472,opentripmap_id_86613,geonames_id_1006036,0.0
316,52,opentripmap_id_84880,geonames_id_2629024,1.0
317,369,opentripmap_id_53381,geonames_id_177908,0.0
318,276,opentripmap_id_97038,geonames_id_580921,0.0
319,362,opentripmap_id_20175,geonames_id_1163631,0.0
320,250,opentripmap_id_70960,geonames_id_1048475,0.0
321,491,opentripmap_id_125412,geonames_id_1203867,0.0
322,106,opentripmap_id_115795,geonames_id_2111506,1.0
323,295,opentripmap_id_30818,geonames_id_1793886,0.0
324,67,opentripmap_id_47541,geonames_id_831800,1.0
325,105,opentripmap_id_62523,geonames_id_1394196,1.0
326,76,opentripmap_id_89397,geonames_id_1230578,1.0
327,326,opentripmap_id_52359,geonames_id_1435162,0.0
328,445,opentripmap_id_131070,geonames_id_2619219,1.0
329,353,opentripmap_id_19263,geonames_id_1547758,0.0
330,43,opentripmap_id_10139,geonames_id_2103454,1.0
331,272,opentripmap_id_31065,geonames_id_2661578,0.0
332,117,opentripmap_id_42281,geonames_id_671447,1.0
333,450,opentripmap_id_5575,geonames_id_1235460,1.0
334,96,opentripmap_id_31427,geonames_id_1235692,1.0
335,113,opentripmap_id_105927,geonames_id_539302,1.0
336,186,opentripmap_id_23077,geonames_id_533206,1.0
337,32,opentripmap_id_128667,geonames_id_437828,1.0
338,270,opentripmap_id_11562,geonames_id_2142716,0.0
339,318,opentripmap_id_70959,geonames_id_1860167,0.0
340,183,opentripmap_id_125397,geonames_id_371509,1.0
341,256,opentripmap_id_29659,geonames_id_2218372,0.0
342,308,opentripmap_id_9980,geonames_id_343533,0.0
343,306,opentripmap_id_104117,geonames_id_1026862,0.0
344,366,opentripmap_id_89040,geonames_id_960368,0.0
345,336,opentripmap_id_118521,geonames_id_1740124,0.0
346,37,opentripmap_id_16113,geonames_id_532472,1.0
347,24,opentripmap_id_15174,geonames_id_1410018,1.0
348,138,opentripmap_id_119,geonames_id_874739,1.0
349,225,opentripmap_id_6335,geonames_id_1374465,0.0
350,342,opentripmap_id_43767,geonames_id_1666575,0.0
351,417,opentripmap_id_11414,geonames_id_1390068,0.0
352,214,opentripmap_id_87154,geonames_id_2278263,0.0
353,464,opentripmap_id_104233,geonames_id_533152,0.0
354,127,opentripmap_id_99211,geonames_id_2111815,1.0
355,88,opentripmap_id_119493,geonames_id_547922,1.0
356,305,opentripmap_id_11295,geonames_id_506258,0.0
357,213,opentripmap_id_47715,geonames_id_425843,0.0
358,180,opentripmap_id_62533,geonames_id_1409562,1.0
359,281,opentripmap_id_127783,geonames_id_382803,0.0
360,54,opentripmap_id_117030,geonames_id_319702,1.0
361,174,opentripmap_id_120109,geonames_id_532705,1.0
362,370,opentripmap_id_11350,geonames_id_2361824,0.0
363,191,opentripmap_id_70748,geonames_id_1584673,0.0
364,371,opentripmap_id_612,geonames_id_2102537,0.0
365,275,opentripmap_id_112139,geonames_id_33478,0.0
366,409,opentripmap_id_89538,geonames_id_545776,1.0
367,462,opentripmap_id_104979,geonames_id_548331,1.0
368,303,opentripmap_id_30573,geonames_id_2070300,0.0
369,71,opentripmap_id_25540,geonames_id_537108,1.0
370,392,opentripmap_id_91735,geonames_id_2111214,1.0
371,390,opentripmap_id_101740,geonames_id_548909,1.0
372,257,opentripmap_id_24514,geonames_id_541267,0.0
373,453,opentripmap_id_509,geonames_id_667119,1.0
374,485,opentripmap_id_117643,geonames_id_80885,0.0
375,442,opentripmap_id_23116,geonames_id_667154,1.0
376,38,opentripmap_id_58505,geonames_id_2617245,1.0
377,222,opentripmap_id_35974,geonames_id_2282279,0.0
378,454,opentripmap_id_124905,geonames_id_646060,1.0
379,172,opentripmap_id_111117,geonames_id_552258,1.0
380,150,opentripmap_id_42322,geonames_id_544138,1.0
381,26,opentripmap_id_107406,geonames_id_371760,1.0
382,355,opentripmap_id_7209,geonames_id_2060498,0.0
383,254,opentripmap_id_50584,geonames_id_2619575,0.0
384,47,opentripmap_id_3262,geonames_id_535728,1.0
385,221,opentripmap_id_39196,geonames_id_1096836,0.0
386,277,opentripmap_id_34179,geonames_id_323421,0.0
387,57,opentripmap_id_122395,geonames_id_532870,1.0
388,51,opentripmap_id_2128,geonames_id_1169662,1.0
389,396,opentripmap_id_38463,geonames_id_544290,1.0
390,416,opentripmap_id_119412,geonames_id_544299,1.0
391,202,opentripmap_id_91699,geonames_id_72297,0.0
392,269,opentripmap_id_103782,geonames_id_640416,0.0
393,233,opentripmap_id_3601,geonames_id_149391,0.0
394,337,opentripmap_id_3285,geonames_id_412382,0.0
395,247,opentripmap_id_36224,geonames_id_1101955,0.0
396,184,opentripmap_id_122148,geonames_id_821498,1.0
397,100,opentripmap_id_91335,geonames_id_536602,1.0
398,309,opentripmap_id_95054,geonames_id_1233684,0.0
399,188,opentripmap_id_42858,geonames_id_1657298,0.0
